國民所得統計常用資料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"期中
人口",平均匯率,"經濟
成長","名目國內生產
毛額(GDP)",,,,"名目國民所得
毛額(GNI)",,,,"名目國民所得
(NI)",,,,,,,,,,,,,,,,,,,,,
,,,,,,"平均每人
GDP",,,,"平均每人
GNI",,,,"平均每人
所　得",,,,,,,,,,,,,,,,,,,
,人,元/美元,％,百萬元,百萬美元,元,美元,百萬元,百萬美元,元,美元,百萬元,百萬美元,元,美元,,,,,,,,,,,,,,,,,,
70年,"18,029,982",36.79,7.11,"1,805,043","49,063","100,113","2,721","1,795,390","48,801","99,578","2,707","1,613,077","43,846","89,466","2,432",,,,,,,,,,,,,,,,,,
  Ⅰ,"17,901,555",35.95,7.15,"422,959","11,770","23,619",657,"421,682","11,734","23,548",655,"377,503","10,506","21,081",587,,,,,,,,,,,,,,,,,,
  Ⅱ,"17,975,802",36.36,7.14,"451,532","12,423","25,111",691,"448,807","12,348","24,959",687,"401,110","11,037","22,307",614,,,,,,,,,,,,,,,,,,
  Ⅲ,"18,058,075",37.06,8.37,"459,833","12,413","25,456",687,"458,140","12,367","25,362",685,"412,139","11,126","22,816",616,,,,,,,,,,,,,,,,,,
  Ⅳ,"18,149,379",37.80,5.84,"470,719","12,457","25,927",686,"466,761","12,352","25,709",680,"422,325","11,177","23,262",615,,,,,,,,,,,,,,,,,,
71年,"18,354,855",39.12,4.80,"1,938,394","49,550","105,607","2,700","1,937,712","49,533","105,569","2,699","1,741,915","44,527","94,902","2,426",,,,,,,,,,,,,,,,,,
  Ⅰ,"18,227,453",37.91,4.58,"461,896","12,186","25,323",668,"463,881","12,238","25,432",671,"412,661","10,888","22,625",597,,,,,,,,,,,,,,,,,,
  Ⅱ,"18,294,665",38.78,5.13,"488,317","12,594","26,673",688,"484,976","12,508","26,490",684,"433,795","11,190","23,696",611,,,,,,,,,,,,,,,,,,
  Ⅲ,"18,371,909",39.65,4.70,"489,592","12,350","26,630",672,"491,134","12,389","26,714",674,"444,009","11,202","24,151",610,,,,,,,,,,,,,,,,,,
  Ⅳ,"18,466,206",40.15,4.77,"498,589","12,420","26,981",672,"497,721","12,398","26,933",670,"451,450","11,247","24,430",608,,,,,,,,,,,,,,,,,,
72年,"18,653,146",40.06,9.04,"2,170,005","54,169","116,335","2,904","2,173,261","54,250","116,509","2,908","1,946,334","48,585","104,343","2,605",,,,,,,,,,,,,,,,,,
  Ⅰ,"18,547,823",39.97,4.29,"495,528","12,404","26,716",668,"501,323","12,549","27,029",676,"447,716","11,207","24,138",604,,,,,,,,,,,,,,,,,,
  Ⅱ,"18,614,026",40.03,8.41,"548,306","13,705","29,457",737,"543,403","13,582","29,193",729,"484,368","12,106","26,022",650,,,,,,,,,,,,,,,,,,
  Ⅲ,"18,683,238",40.12,11.30,"554,907","13,839","29,701",741,"558,179","13,920","29,876",745,"500,111","12,472","26,768",668,,,,,,,,,,,,,,,,,,
  Ⅳ,"18,754,456",40.19,11.79,"571,264","14,221","30,461",758,"570,356","14,199","30,411",758,"514,139","12,800","27,415",683,,,,,,,,,,,,,,,,,,
73年,"18,929,866",39.62,10.05,"2,418,884","61,052","127,781","3,225","2,448,859","61,809","129,365","3,265","2,206,303","55,687","116,551","2,942",,,,,,,,,,,,,,,,,,
  Ⅰ,"18,816,526",40.15,11.88,"562,284","14,000","29,858",743,"570,970","14,216","30,320",755,"514,624","12,813","27,329",680,,,,,,,,,,,,,,,,,,
  Ⅱ,"18,872,694",39.77,11.66,"619,869","15,581","32,819",825,"620,554","15,598","32,855",826,"555,259","13,957","29,398",739,,,,,,,,,,,,,,,,,,
  Ⅲ,"18,939,896",39.21,9.71,"620,261","15,814","32,723",834,"632,351","16,121","33,361",850,"572,975","14,607","30,228",771,,,,,,,,,,,,,,,,,,
  Ⅳ,"19,023,146",39.36,7.31,"616,470","15,657","32,381",823,"624,984","15,874","32,829",834,"563,445","14,310","29,596",752,,,,,,,,,,,,,,,,,,
74年,"19,191,510",39.86,4.81,"2,536,012","63,623","132,142","3,315","2,583,166","64,806","134,599","3,377","2,327,221","58,385","121,263","3,042",,,,,,,,,,,,,,,,,,
  Ⅰ,"19,095,232",39.30,5.68,"598,491","15,229","31,327",797,"614,377","15,633","32,158",819,"558,260","14,205","29,221",744,,,,,,,,,,,,,,,,,,
  Ⅱ,"19,145,377",39.82,4.24,"641,680","16,116","33,500",841,"647,713","16,267","33,814",849,"574,331","14,423","29,983",753,,,,,,,,,,,,,,,,,,
  Ⅲ,"19,203,545",40.31,3.62,"639,119","15,855","33,265",825,"654,199","16,230","34,050",844,"593,584","14,726","30,894",766,,,,,,,,,,,,,,,,,,
