"幣別	按美元計算/ <b>總計</b>	按美元計算/ 動物產品	按美元計算/ 2.植物產品	按美元計算/ (1)食用蔬菜	按美元計算/ (2)食用果實及堅果	按美元計算/ 3.動植物油脂	按美元計算/ (1)調製食品	按美元計算/ (3)菸及菸葉代用品	按美元計算/ (1)有機化學品	按美元計算/ 7.塑膠、橡膠及其製品	按美元計算/ (1)塑膠原料	按美元計算/ (2)塑膠製品	按美元計算/ 8.毛皮及其製品	按美元計算/ 9.木及木製品	按美元計算/ 紙及其製品；印刷品	按美元計算/ 11.紡織品	按美元計算/ 13.非金屬礦物製品	按美元計算/ 14.珠寶及貴金屬製品	按美元計算/ 15.基本金屬及其製品	按美元計算/ (1)鋼鐵及其製品	按美元計算/ (2)其他基本金屬及其製品	按美元計算/ (1)電子零組件	按美元計算/ (2)機械	按美元計算/ (4)資通與視聽產品",,,,,,,,,,,,,,,,,
"91年 12月	""12","198.58""	128.031	19.591	3.016	1.59	3.54	29.433	1.709	193.276	764.75	371.169	292.164	82.262	25.783	86.782	989.711	81.162	14.025	""1","199.21""	769.24	429.968	""2","126.97""	""1","120.85""	""2","713.12""",,,,,,,,,,,,
"92年 1月	""10","519.13""	117.301	20.005	4.42	1.854	2.827	24.887	1.95	171.431	712.558	354.356	261.976	64.067	21.629	70.675	798.274	72.236	8.984	""1","123.86""	737.232	386.631	""1","877.40""	896.576	""2","177.35""",,,,,,,,,,,,,
"92年 2月	""10","210.17""	93.329	16.731	4.471	2.195	3.102	18.994	1.19	165.78	723.414	392.409	247.353	52.613	20.081	76.017	785.618	63.904	9.651	946.726	627.857	318.869	""1","833.36""	824.099	""2","322.17""",,,,,,,,,,,,,,
"92年 3月	""13","244.70""	116.232	31.21	9.739	5.236	3.776	31.241	3.764	189.97	878.53	418.268	341.901	91.483	29.029	103.523	""1","083.06""	90.624	12.038	""1","324.06""	867.681	456.376	""2","305.22""	""1","161.70""	""2","727.83""",,,,,,,,,,,
"92年 4月	""12","093.75""	122.72	29.318	10.507	6.329	4.249	28.768	2.283	174.513	790.067	362.682	320.358	89.061	25.879	96.479	""1","040.23""	85.686	11.712	""1","193.89""	767.88	426.013	""2","149.37""	""1","068.95""	""2","386.50""",,,,,,,,,,,
"92年 5月	""11","745.60""	118.261	29.068	10.602	4.679	3.877	32.636	2.553	189.599	814.306	400.897	305.577	96.412	24.564	94.006	""1","035.33""	78.591	12.398	""1","161.64""	748.579	413.062	""2","127.21""	""1","018.87""	""2","239.58""",,,,,,,,,,,
"92年 6月	""12","153.95""	110.019	27.919	9.011	5.534	4.397	26.003	3.17	287.354	831.318	412.973	301.039	85.435	25.444	91.552	""1","073.72""	85.982	12.536	""1","135.70""	743.502	392.199	""2","108.67""	""1","063.24""	""2","374.93""",,,,,,,,,,,
"92年 7月	""12","216.07""	120.118	29.035	7.447	4.838	3.31	25.961	1.193	249.5	813.845	404.145	298.082	73.304	24.196	92.271	""1","022.34""	81.294	12.143	""1","188.00""	787.342	400.661	""2","232.49""	""1","040.92""	""2","362.43""",,,,,,,,,,,
"92年 8月	""12","960.90""	103.709	20.853	5.869	1.849	4.263	26.716	0.719	263.585	879.076	468.909	301.709	66.747	26.384	91.114	994.561	86.641	17.2	""1","162.67""	752.554	410.115	""2","606.48""	""1","101.74""	""2","571.57""",,,,,,,,,,,,
"92年 9月	""13","242.06""	127.293	18.708	3.479	2.995	3.645	25.888	0.797	218.674	804.615	397.882	297.772	71.375	26.212	90.341	998.609	81.755	15.164	""1","236.53""	811.744	424.79	""2","673.12""	""1","080.83""	""2","693.28""",,,,,,,,,,,,
"92年 10月	""13","714.89""	124.389	18.496	2.485	1.606	4.141	29.587	0.269	210.418	933.636	502.998	319.553	76.575	27.411	101.703	""1","023.13""	89.2	14.788	""1","236.57""	777.636	458.935	""2","787.24""	""1","102.78""	""2","902.38""",,,,,,,,,,,
"92年 11月	""14","501.43""	114.448	21.618	4.474	1.955	4.483	31.83	0.19	264.973	901.165	471.07	314.913	87.221	25.075	99.801	""1","009.18""	87.473	17.481	""1","298.23""	854.889	443.336	""2","909.02""	""1","163.14""	""3","097.49""",,,,,,,,,,,
"92年 12月	""14","731.79""	112.588	22.695	3.518	2.362	4.838	35.762	0.712	263.929	959.191	489.241	346.703	79.295	27.783	97.577	""1","028.98""	90.995	21.5	""1","379.03""	889.367	489.667	""2","796.65""	""1","268.13""	""3","025.73""",,,,,,,,,,,
"93年 1月	""12","448.07""	97.019	20.516	4.417	2.512	3.532	26.595	1.529	256.698	838.101	457.544	277.79	50.353	22.2	80.84	808.878	77.699	16.118	""1","152.95""	744.929	408.017	""2","549.63""	""1","021.54""	""2","367.54""",,,,,,,,,,,,
"93年 2月	""13","894.18""	111.407	20.009	6.157	1.393	4.578	28.773	1.549	292.35	921.07	497.149	307.854	60.63	23.347	98.819	923.262	84.981	18.918	""1","284.65""	846.327	438.326	""2","909.51""	""1","113.24""	""2","623.31""",,,,,,,,,,,,
"93年 3月	""15","529.97""	121.275	27.842	10.726	2.34	4.554	36.758	3.045	310.572	""1","030.88""	525.524	374.089	83.654	30.263	105.133	""1","101.34""	101.172	18.947	""1","488.69""	947.529	541.161	""2","968.35""	""1","326.79""	""2","929.28""",,,,,,,,,,
"93年 4月	""14","824.71""	119.62	28.258	12.593	3.151	4.435	34.915	1.245	336.464	999.875	533.451	344.904	95.405	29.368	106.981	""1","101.41""	92.315	17.929	""1","462.69""	942.609	520.081	""2","944.75""	""1","252.05""	""2","508.79""",,,,,,,,,,,
