"幣別	按美元計算/ <b>總計</b>	按美元計算/ 動物產品	按美元計算/ 2.植物產品	按美元計算/ (1)食用蔬菜	按美元計算/ (2)食用果實及堅果	按美元計算/ 3.動植物油脂	按美元計算/ (1)調製食品	按美元計算/ (3)菸及菸葉代用品	按美元計算/ (1)有機化學品	按美元計算/ 7.塑膠、橡膠及其製品	按美元計算/ (1)塑膠原料	按美元計算/ (2)塑膠製品	按美元計算/ 8.毛皮及其製品	按美元計算/ 9.木及木製品	按美元計算/ 紙及其製品；印刷品	按美元計算/ 11.紡織品	按美元計算/ 13.非金屬礦物製品	按美元計算/ 14.珠寶及貴金屬製品	按美元計算/ 15.基本金屬及其製品	按美元計算/ (1)鋼鐵及其製品	按美元計算/ (2)其他基本金屬及其製品	按美元計算/ (1)電子零組件	按美元計算/ (2)機械	按美元計算/ (4)資通與視聽產品",,,,,,,,,,,,,,,,,
"105年 1月	""22","073.60""	144.56	65.9	9.536	14.839	7.194	110.117	7.919	572.323	""1","560.55""	822.739	544.769	48.016	14.409	131.091	802.873	192.092	126.102	""1","966.03""	""1","100.17""	865.862	""7","059.46""	""1","617.97""	""2","398.36""",,,,,,,,,,
"105年 2月	""17","631.05""	140.067	48.544	9.083	9.851	4.88	72.489	5.386	558.903	""1","267.06""	715.559	400.855	42.729	10.033	109.692	669.869	135.947	106.662	""1","533.25""	920.524	612.729	""5","711.14""	""1","260.55""	""1","888.73""",,,,,,,,,,,
"105年 3月	""22","632.04""	163.299	67.449	10.107	17.627	9.11	105.93	12.257	664.221	""1","742.47""	976.719	557.099	64.406	14.11	144.441	913.301	194.848	154.582	""1","977.49""	""1","176.91""	800.582	""7","233.84""	""1","705.87""	""2","317.46""",,,,,,,,,,
"105年 4月	""22","048.73""	142.256	62.029	11.52	17.158	6.826	105.819	10.113	682.17	""1","710.22""	965.278	544.805	68.455	13.94	140.77	936.093	189.055	97.853	""1","908.00""	""1","130.44""	777.552	""6","889.99""	""1","616.42""	""2","380.34""",,,,,,,,,,
"105年 5月	""23","509.81""	131.394	60.528	10.256	12.538	8.562	106.805	12.068	750.042	""1","684.37""	922.931	555.881	67.164	16.175	149.708	884.785	192.68	116.43	""2","096.53""	""1","261.72""	834.804	""7","226.76""	""1","804.85""	""2","521.04""",,,,,,,,,,
"105年 6月	""22","812.39""	146.009	62.743	10.806	11.107	7.44	101.622	12.745	637.147	""1","638.87""	906.534	540.632	54.029	15.643	137.879	780.424	178.945	100.568	""2","061.58""	""1","229.12""	832.456	""7","440.76""	""1","685.81""	""2","502.02""",,,,,,,,,,
"105年 7月	""24","044.58""	167.565	59.906	11.549	8.466	7.01	103.68	12.917	689.969	""1","747.56""	979.073	569.614	53.017	16.675	150.559	812.054	203.215	137.476	""2","139.26""	""1","238.59""	900.669	""7","953.97""	""1","762.71""	""2","604.21""",,,,,,,,,,
"105年 8月	""24","536.82""	148.509	54.498	8.029	4.378	6.721	100.696	11.296	668.151	""1","724.67""	949.244	572.912	55.716	16.088	154.15	851.352	203.2	113.015	""2","192.24""	""1","239.43""	952.816	""8","423.46""	""1","709.73""	""2","554.46""",,,,,,,,,,
"105年 9月	""22","491.21""	127.671	43.45	6.158	4.558	5.456	81.2	6.635	480.529	""1","460.03""	793.312	496.507	51.633	13.894	130.095	786.437	173.66	74.014	""1","924.89""	""1","133.79""	791.101	""8","422.93""	""1","395.14""	""2","487.16""",,,,,,,,,,
"105年 10月	""26","652.65""	150.256	52.414	6.512	2.548	9.708	117.336	10.595	736.58	""1","833.00""	""1","037.81""	581.726	63.373	16.63	160.563	923.835	218.512	131.419	""2","271.01""	""1","362.43""	908.584	""9","056.65""	""1","825.54""	""3","110.67""",,,,,,,,,
"105年 11月	""25","075.62""	152.179	44.169	5.742	2.726	9.578	112.872	8.948	679.674	""1","732.43""	988.429	544.135	51.674	15.48	150.786	792.652	198.635	89.543	""2","161.98""	""1","284.00""	877.978	""8","787.32""	""1","795.55""	""2","720.42""",,,,,,,,,,
"105年 12月	""25","666.16""	166.061	53.668	7.352	7.02	8.682	108.193	7.801	712.293	""1","818.57""	""1","045.15""	559.903	53.835	14.05	151.986	774.818	194.064	81.673	""2","296.68""	""1","341.70""	954.976	""8","591.45""	""1","864.04""	""2","695.72""",,,,,,,,,
"106年	""315","486.66""	""2","014.07""	690.346	110.984	110.209	96.695	""1","491.59""	104.757	""9","543.06""	""22","974.37""	""13","480.99""	""6","793.25""	643.154	194.066	""1","959.02""	""10","074.56""	""2","364.00""	""1","128.27""	""29","041.64""	""17","340.84""	""11","700.79""	""107","199.40""	""23","835.95""	""34","105.23"""
"106年 1月	""23","652.35""	163.745	50.769	10.716	10.297	9.399	93.828	5.276	842.124	""1","610.73""	879.523	536.893	44.821	12.92	137.531	746.852	195.594	85.259	""2","235.39""	""1","306.53""	928.864	""7","772.05""	""1","775.98""	""2","458.05""",,,,,,,,,,
"106年 2月	""22","541.45""	162.552	47.4	9.343	7.67	7.667	86.435	5.108	816.846	""1","794.43""	""1","117.58""	468.227	43.828	10.877	137.645	709.749	185.575	95.456	""2","075.93""	""1","282.13""	793.807	""7","400.77""	""1","562.78""	""2","390.76""",,,,,,,,,
"106年 3月	""25","531.47""	175.126	60.388	11.894	12.594	8.816	112.527	8.325	748.532	""1","892.41""	""1","078.86""	571.291	65.795	13.944	158.167	916.097	192.525	63.88	""2","373.84""	""1","434.72""	939.126	""8","679.45""	""1","748.61""	""2","807.95""",,,,,,,,,
"106年 4月	""24","125.46""	124.426	61.208	10.325	16.186	6.046	113.238	11.95	746.69	""1","829.10""	""1","051.18""	555.803	62.869	15.12	152.198	916.165	183.699	74.771	""2","274.50""	""1","341.74""	932.756	""7","621.88""	""1","955.49""	""2","686.75""",,,,,,,,,
"106年 5月	""25","322.28""	145.886	65.181	10.333	14.04	8.101	123.258	6.654	741.827	""1","957.76""	""1","121.80""	595.925	61.535	20.82	160.192	893.451	196.872	83.584	""2","575.44""	""1","590.20""	985.239	""7","769.15""	""1","995.27""	""2","674.67""",,,,,,,,,
"106年 6月	""25","679.98""	199.532	62.759	9.577	10.227	7.49	110.326	6.531	729.449	""1","857.33""	""1","093.56""	548.045	54.346	16.276	149.179	801.833	197.511	70.493	""2","257.17""	""1","322.78""	934.389	""8","888.31""	""1","891.56""	""2","933.20""",,,,,,,,,
"106年 7月	""26","939.17""	168.384	71.329	10.296	13.684	8.175	136.454	11.528	831.663	""1","927.66""	""1","120.90""	572.23	55.969	17.547	165.163	817.476	204.455	78.258	""2","576.86""	""1","521.73""	""1","055.13""	""8","704.46""	""2","121.52""	""3","008.08""",,,,,,,,
"106年 8月	""27","616.65""	159.764	57.401	9.263	4.695	6.681	141.762	8.818	799.768	""2","003.44""	""1","169.20""	604.094	55.538	17.516	171.848	855.799	194.675	108.189	""2","532.96""	""1","490.13""	""1","042.83""	""9","637.07""	""2","135.01""	""2","886.74""",,,,,,,,
"106年 9月	""28","714.84""	180.992	61.906	8.256	6.72	8.185	147.158	8.894	778.337	""1","946.67""	""1","115.41""	597.397	53.583	17.919	170.216	890.31	214.679	128.6	""2","582.24""	""1","511.16""	""1","071.08""	""10","168.90""	""2","124.66""	""3","090.24""",,,,,,,,
"106年 10月	""27","396.20""	166.632	44.584	6.161	2.553	6.942	132.499	10.042	771.423	""1","958.44""	""1","181.68""	566.188	47.998	15.603	186.506	842.499	189.898	114.832	""2","352.54""	""1","406.47""	946.062	""10","012.43""	""2","071.72""	""2","928.68""",,,,,,,,,
"106年 11月	""28","589.47""	174.373	51.964	6.904	4.008	9.654	148.997	7.177	843.349	""2","086.36""	""1","274.58""	582.491	49.405	18.849	190.17	823.777	195.382	112.129	""2","537.24""	""1","539.07""	998.169	""10","194.71""	""2","170.05""	""3","089.27""",,,,,,,,,
"106年 12月	""29","377.35""	192.655	55.457	7.916	7.535	9.539	145.106	14.454	893.051	""2","110.04""	""1","276.72""	594.666	47.467	16.675	180.203	860.548	213.13	112.814	""2","667.53""	""1","594.19""	""1","073.34""	""10","350.25""	""2","283.30""	""3","150.86""",,,,,,,,
"107年 1月	""27","261.43""	167.866	62.206	11.592	15.752	8.949	145.131	6.91	928.082	""2","172.39""	""1","336.47""	602.119	48.402	15.326	171.973	826.585	209.717	113.579	""2","721.94""	""1","647.82""	""1","074.13""	""8","677.13""	""2","110.06""	""2","710.63""",,,,,,,,
"107年 2月	""22","169.53""	179.506	52.173	10.327	11.907	6.428	93.582	6.093	904.385	""1","692.90""	""1","044.69""	463.514	37.367	12.111	141.642	636.227	183.178	84.129	""2","137.39""	""1","326.85""	810.546	""7","000.19""	""1","609.91""	""2","383.91""",,,,,,,,,
"107年 3月	""29","792.85""	226.625	81.832	17.389	16.976	8.451	145.718	11.988	""1","105.98""	""2","211.11""	""1","376.56""	592.697	56.695	13.447	190.989	950.413	229.891	98.438	""2","808.88""	""1","714.32""	""1","094.56""	""10","543.82""	""2","246.55""	""2","901.04""",,,,,,,
"107年 4月	""26","549.31""	152.726	70.915	10.769	22.096	7.173	137.706	11.399	955.523	""2","119.40""	""1","309.60""	578.872	56.229	14.253	177.723	903.583	206.92	116.976	""2","564.31""	""1","550.97""	""1","013.34""	""8","543.40""	""2","098.43""	""2","625.30""",,,,,,,,
"107年 5月	""28","944.22""	171.445	69.044	10.411	15.178	8.038	166.567	13.191	912.545	""2","331.96""	""1","448.31""	637.324	58.152	17.826	190.163	910.934	211.372	151.466	""3","021.36""	""1","777.10""	""1","244.26""	""9","000.49""	""2","389.43""	""2","900.09""",,,,,,,,
"107年 6月	""28","110.12""	193.402	75.467	11.991	18.329	7.099	148.402	13.581	996.088	""2","193.42""	""1","329.02""	609.342	53.771	14.844	179.212	860.583	209.333	164.222	""2","778.98""	""1","599.23""	""1","179.75""	""8","740.12""	""2","263.21""	""2","940.32""",,,,,,,,
"107年 7月	""28","217.57""	186.254	72.159	11.858	11.637	7.344	140.65	11.066	905.305	""2","153.35""	""1","296.15""	614.294	49.328	15.839	192.73	803.596	199.676	128.904	""2","809.36""	""1","660.02""	""1","149.34""	""9","331.76""	""2","242.91""	""2","934.38""",,,,,,,,
"107年 8月	""28","021.80""	164.397	55.898	8.341	4.159	6.747	144.528	10.91	862.075	""2","110.30""	""1","248.91""	618.89	47.32	16.849	181.49	818.248	184.392	102.261	""2","438.74""	""1","427.67""	""1","011.07""	""9","754.15""	""2","059.10""	""2","894.73""",,,,,,,,
"107年 9月	""29","467.17""	181.314	66.118	8.178	6.861	7.547	156.446	14.245	""1","045.85""	""2","094.25""	""1","224.50""	618.097	50.099	14.409	187.02	896.438	216.828	120.914	""2","729.24""	""1","700.08""	""1","029.16""	""10","119.85""	""2","167.91""	""3","048.12""",,,,,,,
"107年 10月	""29","424.04""	182.129	55.586	7.291	3.622	9.252	163.449	8.92	""1","095.34""	""2","182.05""	""1","313.26""	625.457	46.007	16.283	186.412	864.785	206.429	126.31	""2","682.31""	""1","604.53""	""1","077.78""	""10","112.10""	""2","159.04""	""3","177.95""",,,,,,,
"107年 11月	""27","681.84""	178.11	55.428	7.483	4.633	13.196	156.543	12.039	905.869	""1","967.51""	""1","163.49""	585.039	38.966	15.455	182.228	771.719	182.428	87.918	""2","368.73""	""1","435.26""	933.473	""9","616.39""	""1","966.89""	""3","275.46""",,,,,,,,,
"107年 12月	""28","367.47""	183.559	67.217	7.796	10.191	8.928	161.279	17.746	889.633	""2","047.84""	""1","201.27""	601.671	50.168	13.122	172.082	831.858	204.142	97.582	""2","526.69""	""1","566.62""	960.075	""9","328.70""	""2","255.71""	""3","531.47""",,,,,,,,,
"108年 1月	""27","121.49""	180.608	77.023	9.892	22.232	7.511	146.975	17.787	900.148	""1","887.74""	""1","058.67""	601.357	42.534	12.593	152.86	740.769	197.999	162.021	""2","522.64""	""1","543.78""	978.868	""8","760.52""	""2","099.42""	""3","295.04""",,,,,,,,,
"108年 2月	""20","319.55""	137.383	53.873	7.459	15.553	5.188	90.755	7.016	735.811	""1","559.38""	958.078	427.423	34.963	10.005	134.654	621.68	147.277	54.841	""1","762.88""	""1","081.31""	681.571	""6","418.73""	""1","500.99""	""2","618.63""",,,,,,,,,,
"108年 3月	""28","479.97""	184.38	90.016	12.349	29	8.082	168.998	9.762	984.022	""2","126.49""	""1","245.32""	611.92	55.085	12.935	181.964	909.214	202.185	115.182	""2","602.23""	""1","615.06""	987.176	""9","142.01""	""2","190.13""	""3","564.25""",,,,,,,,,
"108年 4月	""25","567.97""	164.385	82.162	9.692	30.694	6.284	158.315	12.202	765.948	""1","897.60""	""1","115.49""	556.966	48.187	13.324	163.582	829.836	175.287	102.938	""2","304.60""	""1","430.17""	874.434	""8","114.64""	""1","934.20""	""3","071.62""",,,,,,,,,
"108年 5月	""27","558.09""	165.546	81.481	10.612	24.966	6.94	161.132	11.34	692.466	""2","005.25""	""1","177.22""	596.619	51.649	14.022	182.448	822.665	186.674	92.728	""2","417.28""	""1","446.18""	971.097	""9","045.72""	""2","069.48""	""3","566.40""",,,,,,,,,
"108年 6月	""28","217.14""	176.521	81.099	10.922	18.43	8.35	171.293	11.8	746.133	""1","971.27""	""1","125.97""	597.435	52.824	13.752	175.83	775.987	207.568	145.627	""2","505.09""	""1","503.13""	""1","001.96""	""9","026.09""	""2","090.00""	""3","535.11""",,,,,,,,
"108年 7月	""28","120.83""	184.626	72.065	10.995	12.139	7.61	165.358	9.701	761.005	""1","935.43""	""1","096.72""	602.924	46.789	14.839	165.748	719.893	184.019	152.368	""2","318.41""	""1","397.07""	921.343	""9","501.25""	""2","059.75""	""3","687.35""",,,,,,,,,
"108年 8月	""28","790.19""	162.993	62.95	9.126	6.878	7.008	155.735	6.325	669.006	""1","878.15""	""1","052.43""	595.877	44.991	15.404	169.237	757.166	183.243	182.23	""2","307.27""	""1","379.83""	927.447	""10","483.42""	""1","906.87""	""3","803.79""",,,,,,,,,
"108年 9月	""28","103.45""	190.022	59.112	8.353	6.11	10.961	155.105	9.871	674.664	""1","752.21""	960.207	570.52	48.727	12.683	166.116	772.342	188.944	134.481	""2","263.72""	""1","316.44""	947.273	""10","367.36""	""1","809.01""	""3","613.12""",,,,,,,,,,
"108年 10月	""28","992.59""	167.221	54.357	7.285	3.411	8.174	167.442	10.331	637.07	""1","870.54""	""1","053.90""	590.694	48.564	14.713	186.392	780.029	179.381	90.221	""2","322.02""	""1","298.56""	""1","023.46""	""10","649.86""	""1","901.25""	""3","837.68""",,,,,,,,
